id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4489065547802429,IBn06wJLD,罗永浩首秀，最AI的数码产品。卖货不卖身！ ,,"https://wx1.sinaimg.cn/large/5e52db70ly1gder62jqp1j20sg0wftcq.jpg,https://wx3.sinaimg.cn/large/5e52db70ly1gder62klwsj20ku0r3tag.jpg,https://wx4.sinaimg.cn/large/5e52db70ly1gder62kj7lj20ku0qsmyv.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1gder62mqwej20u01pogvj.jpg",,,2020-04-02,iPhone客户端,565,105,54,,
4477819486285240,IwEriqn4Q,魔幻的2020 ,,https://wx1.sinaimg.cn/large/5e52db70ly1gcevkqshegj20ba0b574s.jpg,,,2020-03-02,iPhone客户端,233,97,51,,
4476294526160555,Iw0LGpQDN,搜狗AI录音笔，各种新科技赋能硬件，同舟共记。 ,,"https://wx4.sinaimg.cn/large/5e52db70ly1gca0fq7uqyj20u01iq10j.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1gca0fq9u84j20u01iq466.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1gca0fqb34lj20ku1o8jxx.jpg",,,2020-02-26,iPhone客户端,152,54,19,,
4469131363771884,It0qcfPeQ,操蛋的“依法实施” ,,https://wx2.sinaimg.cn/large/5e52db70ly1gbn5rbmewtj20fa0kdach.jpg,,,2020-02-07,iPhone客户端,399,93,46,,
4469105161158008,IsZJW4Rfy,今天在家看了电影《中国机长》，最让我感动的一句话是：“我们受过专业训练，请相信我们”。这是一个最高的境界，也是每一个人可以追求的，化身为一个更好的、有意义的自己。把这句话献给我们一线的医务工作者。 ,,"https://wx2.sinaimg.cn/large/5e52db70ly1gbn2qzmzauj20u00ckq4j.jpg,https://wx1.sinaimg.cn/large/5e52db70ly1gbn2qzpjggj215o0rsgvv.jpg",,,2020-02-06,iPhone客户端,417,39,65,,
4468746397839595,IsQphwTr5,1918年的西班牙大流感诊治场景（图片来自网络），与2020年的武汉“方舱医院”相隔百年的重合。 ,,https://wx3.sinaimg.cn/large/5e52db70ly1gblxjohlzzj20u00kqwmk.jpg,,,2020-02-05,iPhone客户端,349,39,116,,
4466093194062418,IrJnVh2OS,肺炎患者同程查询服务出炉，如果坐了车船和公共交通，可以查一下同一行程中是否有确诊患者。#新型肺炎患者同程查询#网页链接 ,,https://wx4.sinaimg.cn/large/5e52db70ly1gbdgtveqmgj20u01sxdlb.jpg,,,2020-01-29,iPhone客户端,198,15,165,新型肺炎患者同程查询,
4464384866998642,Ir0WytmFk,大灾面前有大爱。一位武汉女子的“我可以搬，我力气大”，气吞山河。 ,,https://wx1.sinaimg.cn/large/5e52db70ly1gb80mqv4t9j20la15r0ug.jpg,,,2020-01-24,iPhone客户端,260,18,10,,
4464382618673217,Ir0SVAoiB,武汉一线医卫工作者的年夜饭。或许还有没有记录下来的更艰苦的，用生命在完成使命。致敬。 ,,https://wx2.sinaimg.cn/large/5e52db70gy1gb80dg959sj20o00m9n0b.jpg,,,2020-01-24,iPhone客户端,306,55,59,,
4464006385440577,IqR66mPlf,大灾面前有大爱，2003如此，2008如此，今天也如此。众志成城，尤其是我们英勇的医疗工作者。 ,,https://wx3.sinaimg.cn/large/5e52db70gy1gb6t5w2m9sj20qo0zkdjs.jpg,,,2020-01-23,iPhone客户端,683,34,76,,
4463986668244687,IqQAiyAOP,八方支援，武汉加油！川军来了。 ,,https://wx1.sinaimg.cn/large/5e52db70gy1gb6qwd9m92j20m80gomyt.jpg,,,2020-01-23,iPhone客户端,24390,81,13630,,
4448653873438387,IkpHZeqtR,搜狗AI录音笔，这套图比较完整 ,,"https://wx1.sinaimg.cn/large/5e52db70ly1g9tty9jxagj20u01gmak5.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1g9tty93ip6j20u01o0n3h.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1g9tty9h7b8j20u01o07ce.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1g9tty9ju8oj20u01o0wm9.jpg,https://wx4.sinaimg.cn/large/5e52db70ly1g9tty9dhnzj20u01o0n60.jpg,https://wx3.sinaimg.cn/large/5e52db70ly1g9tty9d93wj20u01o0gv6.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1g9tty93az3j20u01o00zr.jpg,https://wx2.sinaimg.cn/large/5e52db70ly1g9tty9rbtyj20u01o0151.jpg,https://wx4.sinaimg.cn/large/5e52db70ly1g9tty9rbb8j20u01o0tfr.jpg",,,2019-12-12,iPhone客户端,153,40,37,,
4448649280694678,IkpAA2UIu,搜狗AI录音笔C1 pro，双十二正式发布。 ,,https://wx1.sinaimg.cn/large/5e52db70ly1g9ttfa0vwnj20u01gmwnv.jpg,,,2019-12-12,iPhone客户端,504,31,146,,
4446178281791968,Ijnj67waI,搜狗AI录音笔C1 pro预售，能实时转写和云端存储。体积更小，传输更快，存储更大。 ,,"https://wx4.sinaimg.cn/large/5e52db70ly1g9lxmtm264j20u01gmwi6.jpg,https://wx3.sinaimg.cn/large/5e52db70ly1g9lxmthg23j20ku0yyjti.jpg",,,2019-12-05,iPhone客户端,352,53,109,,
4440992947739292,IhcpEwtli,是这样的么？ ,,https://wx3.sinaimg.cn/large/5e52db70gy1g95e3ur2z7j21520u0108.jpg,,,2019-11-21,iPhone客户端,525,103,175,,
4431399521716844,IdaQo7cD2,看了院士的演讲稿，松了一口气。明确提到联盟区块链是正确方向，能有效避免区块链的一些天然缺陷。就是希望地方支持的时候，也是清晰知道什么是联盟链，不要被公链私链和假联盟链给忽悠了。 ,,https://wx4.sinaimg.cn/large/5e52db70ly1g8asbezvkej20tu1c1dne.jpg,,,2019-10-25,iPhone客户端,196,53,79,,
