id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,转发数,话题,@用户
4626614454847147,KbamxkkXN,【#自费打工算不算职场pua#？】有网友晒出自己“打工现状”，引发调侃“一通操作猛如虎，最后却在自费打工。”#自费打工#指干了一个月活后，发现自己干了个寂寞的心理。当代打工人明知自费打工还要打工？你认为#自费打工算不算职场pua#呢？ ,,"https://wx3.sinaimg.cn/large/001Lvb9uly1gplki9otj6j60j6106juj02.jpg,https://wx4.sinaimg.cn/large/001Lvb9uly1gplkidgolvj60j60bmwf402.jpg,https://wx1.sinaimg.cn/large/001Lvb9uly8gplkedg8g8j60yc0pegn202.jpg,https://wx1.sinaimg.cn/large/001Lvb9uly8gplkee73n9j60n10n1mzh02.jpg,https://wx4.sinaimg.cn/large/001Lvb9uly8gplkedi155g608c05r17e02.gif,https://wx1.sinaimg.cn/large/001Lvb9uly8gplkednimzj60c8099ta002.jpg,https://wx2.sinaimg.cn/large/001Lvb9uly8gplkedic6bj60ku0kamyi02.jpg,https://wx4.sinaimg.cn/large/001Lvb9uly8gplkee1o0hj60c80biwfb02.jpg,https://wx1.sinaimg.cn/large/001Lvb9uly8gplkee737cj60j60j640d02.jpg,https://wx3.sinaimg.cn/large/001Lvb9uly8gplkedi2bqj60hs0hn0vj02.jpg,https://wx1.sinaimg.cn/large/001Lvb9uly8gplkedisnrj60j60ioabm02.jpg",,,2021-04-16,微博发布平台专业版,346,216,162,"自费打工算不算职场pua,自费打工,自费打工算不算职场pua",
4626611515427965,KbahNmM3P,【16岁男孩让妹妹喊来9岁女童实施性侵，被判17个月】#16岁男孩性侵女童被判17个月# 近日，广东肇庆。16岁男孩让妹妹喊来9岁邻居女童实施性侵，获刑17个月。受害者家属称未接到通知参加庭审，未获赔偿。该案审判员称，检方和受害家属均未提起刑事附带民事诉讼，因此判决不涉及到民事赔偿。@燃新闻 燃新闻的微博视频,,,"https://f.video.weibocdn.com/WAAj3h7tlx07LVET4NzO01041200wct70E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578090&ssig=U5yjvCC1ul&KID=unistore,video",,2021-04-16,微博视频号,1646,223,125,16岁男孩性侵女童被判17个月,燃新闻
4626606285128976,Kba9mlwhq,【为减轻排放核废水遭受的风评损失，#日本花3.07亿日元挽回形象#】据朝日新闻14日报道，日本复兴厅统括官角野然生当天在参议院能源调查会上透漏，“放射性物质相关信息发布事业”的预算是3亿700万日元（约合人民币1840.67万元）。报道称，角野然生在接受日共籍参议员山添拓的质询时透露，去年10月开始，“为减轻风评损失做准备”，日本复兴厅专门编列出名为“放射性物质相关信息发布事业”的预算，总计3亿700万日元。随后，通过招标的方式，把一部分工作外包给了电通株式会社。角野然生还称，于本月13日上架的海报、动画视频前前后后花费了数百万日元，包括氚卡通形象的设计等等，具体细节则不便公布。（观察者网）#日官员称喝了核废水也不能证明安全性#,,https://wx4.sinaimg.cn/large/001Lvb9uly8gpljgxxsjxj60dw07tdgx02.jpg,,,2021-04-16,微博发布平台专业版,741,85,69,"日本花3.07亿日元挽回形象,日官员称喝了核废水也不能证明安全性",
4626603004395900,Kba44irzC,【男孩恶疾复发，六旬#老人拖病躯拾荒换钱为孙保命#】2019年，畅畅（化名）被确诊患有髓母细胞瘤，父亲带着他四处求医，几经化疗才有所好转。本以为畅畅可以回到心爱的学校，可不料随后病情又一次恶化，住进了儿童重症室。看着病床上饱受病痛折磨的孩子，畅畅的爷爷奶奶拄着拐杖拉着拖车，不顾病躯去街上翻垃圾桶，捡来的废品堆在家里，每隔十天半月换来的钱对他们而言是孩子生的希望，但这些微薄的收入远远赶不上畅畅的治疗花销速度。猛犸新闻的微博视频,,,"https://f.video.weibocdn.com/000Q0Imvgx07LuCrvuIE01041201aCkd0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578073&ssig=cqguyfwd8D&KID=unistore,video",,2021-04-16,微博视频号,196,45,32,老人拖病躯拾荒换钱为孙保命,
4626598072682226,Kb9W7bfLI,【女子随手点了一个赞，竟损失近30万元】在大多数人看来，刷手机小视频时，顺手点个“赞”是一件平常的事。然而，前不久，江苏李女士在玩手机时偶然看到一个名为“带大家发财”的小视频。视频中，一名男子说有投资发财的路子，李女士虽然不太相信，但还是顺手点了“赞”，却因此损失了近30万元。这是怎么回事>>女子随手点了一个赞，竟损失近30万元,,,,,2021-04-16,微博发布平台专业版,182,40,28,,
4626593035063051,Kb9NZlf87,【#墨西哥裔老妇被误认为华人遭暴打# 全车人冷眼旁观】当地时间4月9日，美国加州洛杉矶一名70岁墨西哥裔老妇搭乘公交前往超市时，被同车一名23岁的非裔女性乘客误认为是华人开始辱骂，遭暴打，严重受伤。施暴者甚至还将老妇从车厢后面拖拽到前面。受害者儿子说，当时没有人上前施救，甚至连公交司机都袖手旁观。直到一名乘客拨打911报警，施暴者才罢手。警方目前已将施暴者拘捕。@海客新闻 海客新闻的秒拍视频,,,"https://gslb.miaopai.com/stream/CnAT33-XlEqe2OvJlgBy60GPItz3s4IAGYS9dw__.mp4?yx=&refer=weibo_app&vend=weibo&label=mp4_hd&mpflag=8&ori=0&ps=1BThihd3VLAY5R&Expires=1618578113&ssig=O6iris%2BUO%2F&KID=unistore,video",,2021-04-16,微博视频号,2022,210,64,墨西哥裔老妇被误认为华人遭暴打,海客新闻
4626590798974279,Kb9KnBECr,#守护我的消费权益#【昆明近10个楼盘因学校问题遭投诉 含碧桂园御龙半山等】据不完全统计，3月以来，昆明已有近十个楼盘因学校问题引发业主维权、投诉，业主投诉内容多为楼盘卖房时宣传、承诺的“学区”、“学位”未兑现，交房后孩子面临无法入读购房时承诺的配套学校。包括碧桂园御龙半山、锦麟峰荟、碧桂园北城映象、阳光城滇池半山、融创文旅城等新建楼盘都曾因学校问题遭到业主投诉。详细>>【昆港时评】“学位房”虚假宣传屡遭投诉 背后的监管不容忽视 @昆明信息港,,https://wx1.sinaimg.cn/large/001Lvb9uly8gplho3vm3ej60dw0ayt9702.jpg,,,2021-04-16,微博发布平台专业版,84,17,14,守护我的消费权益,昆明信息港
4626588006876461,Kb9FSsQSF,【#游客围拉面哥家门前跳舞#家属回应：没有被打扰到】#拉面哥家属回应游客家门口跳舞# 4月15日，山东临沂，网友爆料称有多人在拉面哥家门前跳舞。16日，拉面哥程运付家属做出回应，他们是来自外地的游客，早上在那做游戏玩呢，没有打扰到拉面哥的正常工作生活。@沸点视频 沸点视频的微博视频 ,,,"https://f.video.weibocdn.com/7sTYpFyhlx07LVtYB4tG01041200qEh80E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=c3f00996be5378650057cf237d7bfffd&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578110&ssig=bSIIoEgdNZ&KID=unistore,video",,2021-04-16,微博视频号,785,251,48,"游客围拉面哥家门前跳舞,拉面哥家属回应游客家门口跳舞",沸点视频
4626581623145161,Kb9vAdccp,【女子5年4次起诉离婚，法院为何要驳回？】近日，湖南女子宁顺花5年4次起诉离婚被驳一事引发热议。5年来，宁顺花是到点诉讼，“只要一个自由身”。#5年4次起诉离婚男方发声#称给一千万也不想离。宁顺花说，自己每次起诉都感觉证据很充分，但每次的结果都出乎意料，且每次遇到的都是同一个主审法官…这婚为啥离不了？当事双方发声、法院回应>>女子5年4次起诉离婚被驳回，到底怎么回事？,,,,,2021-04-16,微博发布平台专业版,899,92,32,5年4次起诉离婚男方发声,
4626579335944727,Kb9rToWuH,【#54岁老师涉猥亵多名小学生被拘# 曾因拄拐上课获贫困资助】广西南宁马山县古零镇某小学教师覃某某因涉嫌猥亵多名小学生被刑拘，当地警方正向检察院报批逮捕程序。马山县权威部门人士介绍，4月8日，古零镇某小学6名家长反映，古零镇某小学教师覃某某猥亵多名小学生，多人被触碰身体敏感部位。接古零镇某小学相关负责人报告后，县教育局到学校进行调查，了解情况。随后，县教育局报警，当地警方将覃某某控制。覃某某曾入选2020年南宁市中央专项彩票公益金“励耕计划”项目名单。包括覃某某在内，该项目确定资助家庭经济特别困难教师候选人475名。中国教育发展基金会官网2021年1月21日公布最终的“2020励耕计划资助教”名单，覃某某位列其中。针对此事，前述权威人士回应，当时覃某某的违法行为未被发现，而其情况符合申请条件。“他是拄着拐杖上课的。”权威人士称，覃某某今年54岁，教小学二年级。“我们没有想到这么老实的一个人，做出这样禽兽不如的事情，连他老婆都不太相信。”该权威人士说。（澎湃新闻）,,https://wx1.sinaimg.cn/large/001Lvb9uly8gplgdz3z7aj60dw0bwmzq02.jpg,,,2021-04-16,微博发布平台专业版,302,49,54,54岁老师涉猥亵多名小学生被拘,
4626576912155197,Kb9nZ92Ff,#5年4次起诉离婚男方发声# 女子5年4次起诉离婚被驳，男方否认家暴还是不想离？法院认为“无证据证明夫妻双方感情确已破裂”，遇到这种情况该如何处理？如何界定“感情破裂”？戳视频↓↓律师这样说！更多细节披露>>了解更多案件细节 ,,,,,2021-04-16,微博发布平台专业版,764,103,36,5年4次起诉离婚男方发声,
4626572538285247,Kb9gVyLn1,【#17元吃海底捞合适吗#？】4月15日，#17元吃海底捞#引发热议。事情源于有人称自己花17元吃了一顿海底捞，之后不少人称自己效仿，尝试在海底捞花几十元甚至十几元吃一顿饭。对此，#门店回应花17元吃海底捞#不会区别对待，也不会设置最低消费。对此你怎么看？  网页链接 ,,,,,2021-04-16,微博 weibo.com,44215,448,59,"17元吃海底捞合适吗,17元吃海底捞,门店回应花17元吃海底捞",
4626568326681655,Kb9a8s2cD,【陕西一#女老师持扫把抽打多名学生#官方：正调查处理】#官方回应女老师持扫把抽打学生# 近日，陕西宝鸡，凤翔区南指挥镇中学女教师在课堂上用扫把抽打多名学生。4月16日，南指挥镇派出所工作人员称，确有其事，正在调查处理中。凤翔区教育体育局工作人员称，有关注到此事，区委区政府都很重视，正在调查处理。沸点视频的微博视频,,,"https://f.video.weibocdn.com/tBd5sC2Ilx07LVvh2NrW01041200cTFM0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1CwnkDw1GXwCQx&Expires=1618578097&ssig=PI1F1tjEFK&KID=unistore,video",,2021-04-16,微博视频号,7329,841,144,"女老师持扫把抽打多名学生,官方回应女老师持扫把抽打学生",
4626560323158929,Kb8XedfMt,【CEO曝光网红女友出轨富二代 疑女方发长文回应】近日，CEO男友发65页PPT，曝光网红女友偷偷与富二代订婚一事，引发网友关注。13日，张某某称，和他同居2年半且多次见过父母的女友#项思醒#，在他毫不知情的情况下，与另外一个男人（徐某某）订婚了。14日下午，项思醒疑似发长文回应称，恋爱期间被张某某疯狂洗脑，同时遭到对方虐待>>CEO曝光网红女友出轨富二代 疑女方发长文回应,,,,,2021-04-16,微博发布平台专业版,1975,334,54,项思醒,
4626556704788408,Kb8Rok5Go,【 #父母管太宽有多可怕#：最想和爸妈说的话是松松手】昨晚最新一集#小舍得# 中，田雨岚@蒋欣 为了让儿子颜子悠@武泽锦熙-嘟嘟 能够拥有一个更加漂亮的简历，在班委换届选举的时候四处走动拉关系，让儿子背着通篇都是成绩单的演讲稿去竞选班长。父母角度为孩子好的管束，能让孩子快乐长大吗？ 头条新闻的微博视频,,,"https://f.video.weibocdn.com/JaynZseXlx07LVv5Ievm01041200Jbt20E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BThihd3VLAY5R&Expires=1618578124&ssig=u71zjbwQvV&KID=unistore,video",,2021-04-16,微博视频号,462,183,227,"父母管太宽有多可怕,小舍得","蒋欣,武泽锦熙-嘟嘟"
4626554255049024,Kb8NrlbtS,【#一季度全国居民人均可支配收入9730元#】国家统计局：一季度，全国居民人均可支配收入9730元，同比名义增长13.7%，两年平均名义增长7.0%；扣除价格因素同比实际增长13.7%，两年平均增长4.5%。按常住地分，城镇居民人均可支配收入13120元，同比名义增长12.2%，实际增长12.3%；农村居民人均可支配收入5398元，同比名义增长16.3%，实际增长16.3%。（每日经济新闻）,,https://wx2.sinaimg.cn/large/001Lvb9uly8gplddwtbdrj60dw09yt9002.jpg,,,2021-04-16,微博发布平台专业版,299,157,26,一季度全国居民人均可支配收入9730元,
4626549518900007,Kb8FNBliv,【痛心！安徽一#少年坠楼砸死过路老奶奶# 两人均不幸离世】4月13日傍晚，安徽六安一小区发生不幸一幕，一名少年从22楼坠楼时砸中从楼下经过的一名老奶奶。令人遗憾的是，虽然120救护车将伤者送往医院紧急抢救，但老人和男孩还是不幸离世。目前，相关方面和辖区警方正在积极进行善后处理工作。（新安晚报）,,"https://wx3.sinaimg.cn/large/001Lvb9uly8gplcyeua7wj60j40nq0w902.jpg,https://wx4.sinaimg.cn/large/001Lvb9uly8gplcyez402j60sy0jlb2902.jpg",,,2021-04-16,微博发布平台专业版,558,65,29,少年坠楼砸死过路老奶奶,
